DHEA,dhea,C0011185
single-photon emission computed tomography ( SPECT ),single-photon emission computed tomography spect,C0037179|C0233929|C1441526|C0040395|C0040399
"off-season , short-term basketball training programs",off-season short-term basketball training programs,C0036497|C0443303|C0004818|C0040607|C0376691
Internet-based multimedia program,internet-based multimedia program,C0282111|C0376478|C1709697
joint attention and play interventions,joint attention play interventions,C0022417|C0004268|C0032214|C0886296
in situ-hybridization,situ-hybridization,C0162788
2.0 clinical units of secretin per kilogram of body weight,2 0 clinical units secretin kilogram body weight,G0000000|G0000000|C0205210|C0439148|C0036534|C0439209|C0242821|C0005910
Conservative fluid management,conservative fluid management,G0000000|C0005889|C0001554
"Therapist-responsible process consists of primary therapist-couple interaction , therapist interpretation , and direct instruction .",therapist-responsible process consists primary therapist-couple interaction therapist interpretation direct instruction,C0871525|C1184743|C0332529|C0205225|C0871525|C1704675|C0871525|C0459471|C0439851|C0039401
Training,training,C0040607
0.9 mg of atropine,0 9 atropine,G0000000|G0000000|C0004259
pharmacotherapy,pharmacotherapy,C0013216
dimethylpolysiloxane plus sodium bicarbonate,dimethylpolysiloxane sodium bicarbonate,C0012436|C0037473|C0005367
propranolol,propranolol,C0033497
Combined therapy with antibiotics and superlimf,combined therapy antibiotics superlimf,C0205195|C0039798|C0003232|G0000000
cardiopulmonary bypass,cardiopulmonary bypass,C0553534|C0741847
angiotensin converting enzyme inhibitor ( captopril ),angiotensin converting enzyme inhibitor captopril,C0003018|G0000000|C0014442|C1999216|C0006938
prizidilol hydrochloride .,prizidilol hydrochloride,C0071989|C1512523
Cytoprotection,cytoprotection,C0524828
nebivolol 5 mg,nebivolol 5,C0068475|G0000000
routine publicity campaign .,routine publicity campaign,C0205547|C0683753|G0000000
intravitreal bevacizumab ( IB ),intravitreal bevacizumab ib,G0000000|C0796392|C2744579
wait-list conditions .,wait-list conditions,C0043010|C0012634
Pain Course,pain,C0030193
lymph node sampling ( LS,lymph node sampling ls,C0024202|C0746922|C0441621|C0023668
xenogenic ( porcine ) acellular dermal matrix,xenogenic porcine acellular dermal matrix,G0000000|C0039005|G0000000|C0221928|C1704640
dietary omega-3 fatty acid,dietary omega-3 fatty acid,C0012155|C1719844|G0000000|C0001128
Non-contrast-enhanced 4D MR angiography,non-contrast-enhanced 4d angiography,C1518422|C0043316|C0002978
Uncuffed tubes,uncuffed tubes,G0000000|C0175730
"rAAV2-TNFR : Fc , an adenoassociated virus serotype 2 vector containing the cDNA",raav2-tnfr fc adenoassociated virus serotype 2 vector cdna,C0077503|C2983605|G0000000|C0042776|C0449943|G0000000|C0086022|C0006556
radiofrequency surgery,radiofrequency surgery,C2347883|C0038894
diclofenac solution,diclofenac solution,C0012091|C0037633
etoposide,etoposide,C0015133
Pioglitazone-treated,pioglitazone-treated,C0071097
Autologous fibroblast treatment,autologous fibroblast treatment,C0439859|C0016030|C0039798
esmolol,esmolol,C0116569
meals,meals,C1998602
blood stem cell transplantation .,blood stem cell transplantation,C0005767|C0242767|C0007634|C0040732
symptomatic therapy,symptomatic therapy,C0231220|C0039798
multifaceted guideline implementation intervention,multifaceted guideline implementation intervention,C0205291|C0162791|C1708476|C0886296
apical seal,apical seal,C0205111|C0036492
Preoperative endocrine therapy,preoperative endocrine therapy,C0445204|C0014136|C0039798
electroretinography,electroretinography,C0013867
V.A.C .,NULL,NULL
300-second stretching,300-second stretching,C1442061|C0600080
packed with ORC,packed orc,C0184967|C1167125
rotational angiography,rotational angiography,C0445237|C0002978
Rye bread,rye bread,C0035984|C0006138
computer,computer,C0009622
"respiratory inductance plethysmography ( Respisomnography , Chest MI )",respiratory inductance plethysmography respisomnography chest mi,C0521346|G0000000|C0032221|G0000000|C0817096|C3810814
fluoxetine,fluoxetine,C0016365
"FemCap , a new vaginal barrier contraceptive",femcap vaginal barrier contraceptive,G0000000|C0042232|C1706912|C0009871
( traditional technique CTR ),traditional technique ctr,C0443324|C0449851|G0000000
chemoradiotherapy with concurrent 5-fluorouracil,chemoradiotherapy concurrent 5-fluorouracil,C0436307|C0205420|C0016360
novel technique,technique,C0449851
rFSH,rfsh,G0000000
Interviews,interviews,C0021822
reboxetine,reboxetine,C0168388
Intensive behavioral treatment,intensive behavioral treatment,C0162425|C0004927|C0039798
predictive model,predictive model,C0681890|C3161035
non-cued,non-cued,C1518422
anti-oxidant vitamin,anti-oxidant vitamin,C0085403|C0042890
initial,initial,C0205265
anti-foam agent,anti-foam agent,C0280592|C0450442
sildenafil,sildenafil,C0529793
carbon dioxide laser,carbon dioxide laser,C0007009|C0678717|C0023089
ultrasound-guided celiac plexus neurolysis ( USCPN ),ultrasound-guided celiac plexus neurolysis uscpn,C0442973|G0000000|C1184808|C0196878|G0000000
Ketamine,ketamine,C0022614
ICP was measured continuously subdurally with a 22-gauge canula connected to a transducer,icp measured continuously subdurally 22-gauge canula connected transducer,C1881201|C0444706|G0000000|G0000000|C0450371|C0520453|C2986575|C0040661
BCG + FAM,bcg + fam,G0000000|G0000000|C3541878
spinal epidural anaesthesia,spinal epidural anaesthesia,C0521329|C0228134|C0002903
a non-nucleoside reverse transcriptase inhibitor ( NNRTI ) strategy ( NNRTI plus NRTI ;,non-nucleoside reverse transcriptase inhibitor nnrti strategy nnrti nrti,C1518422|C1555029|C0040646|C1999216|C3537104|C0679199|C3537104|C3537103
nedocromil sodium ( NS ),nedocromil sodium ns,C0068483|C0037473|C0038944
after the rehabilitation training .,rehabilitation training,C0034991|C0040607
cisplatin and fluorouracil ( CF ) .,cisplatin fluorouracil cf,C0008838|C0016360|C0009738
free bednet distribution program,free bednet distribution program,C0332296|G0000000|C0520511|C1709697
"antioxidants ( vitamin C , 500 mg ;",antioxidants vitamin 500,C0003402|C0042890|C1442061
Program for the Education and Enrichment of Relational Skills ( PEERS :,program education enrichment relational skills peers,C1709697|C0013621|G0000000|C0080103|C0678856|C0679739
Coriander oil,coriander oil,C0162747|C0028908
2-chloroprocaine,2-chloroprocaine,C0055443
25 mg of hydrochlorothiazide,25 hydrochlorothiazide,C0450371|C0020261
white light,white light,C0007457|C0023693
social rejection stressor,social rejection stressor,C0728831|C0035015|C0597530
lisinopril,lisinopril,C0065374
vascular endothelial growth factor ( VEGF ),vascular endothelial growth factor vegf,C0005847|C0014257|C0018270|C1521761|G0000000
Immunotherapy,immunotherapy,C0021083
selenium supplementation,selenium supplementation,C0036581|C0242297
isoniazid,isoniazid,C0022209
dronabinol-treated,dronabinol-treated,C0039663
rituximab ( R ) to fludarabine and cyclophosphamide,rituximab fludarabine cyclophosphamide,C0393022|C0059985|C0010583
elemental calcium 1000 mg/day,elemental calcium 1000 mg/day,C0013879|C0006675|G0000000|C0439422
Group cognitive behavior therapy,cognitive behavior therapy,C1516691|C0004927|C0039798
Exemestane,exemestane,C0851344
steady-state infusion of human brain natriuretic peptide,steady-state infusion human brain natriuretic peptide,C0678587|C0574032|C0086418|C0006104|C0597421|C0030956
risperidone ( low-dose,risperidone low-dose,C0073393|C0445550
bipolar energy in transurethral prostate surgery,bipolar energy transurethral prostate surgery,C0443156|C0424589|C0205497|C0033572|C0038894
Neuromuscular monitoring,neuromuscular monitoring,C1979768|C0150369
aversive stimulation and failure,aversive stimulation failure,C0233496|C1292856|C0231174
"Bevacizumab plus irinotecan , fluorouracil , and leucovorin",bevacizumab irinotecan fluorouracil leucovorin,C0796392|C0123931|C0016360|C0023413
peer counseling,peer counseling,C0679739|C0010210
anti-cancer agent and immunopotentiator,anti-cancer agent immunopotentiator,C0006826|C0450442|C0001551
transurethral resection of the prostate ( TURP ),transurethral resection prostate turp,C0205497|C0015252|C0033572|C0040771
EFV-HS,efv-hs,C0674428
Gemcitabine,gemcitabine,C0045093
coriander oil,coriander oil,C0162747|C0028908
progesterone,progesterone,C0033308
Intravesical seeding of upper urinary tract urothelial carcinoma cells,intravesical seeding upper urinary tract urothelial carcinoma cells,C0442124|C1705192|C1282910|C0042027|C1185740|C0227598|C0007097|C0007634
mgomeprazole,mgomeprazole,G0000000
smoking cessation programs,smoking cessation programs,C0037369|C1880019|C0376691
"class IA , IC and III antiarrhythmic drugs",class ia ic iii antiarrhythmic drugs,C0456387|C0694634|C0020750|C0439070|C0003195|C0013227
spinal cord stimulation :,spinal cord stimulation,C0521329|C1550235|C1292856
Remifentanil,remifentanil,C0246631
diazoxide 150 mg,diazoxide 150,C0012022|C1442061
prednisolone phosphate sodium ( PP ),prednisolone phosphate sodium,C0032950|C0031603|C0037473
no-training control group,no-training control,C0040607|C0243148
wait-list control conditions,wait-list control conditions,C0043010|C0243148|C0012634
intravenous,intravenous,C0348016
epidurally,epidurally,G0000000
levofloxacin,levofloxacin,C0282386
HFX RT,hfx rt,G0000000|C0230425
immunotherapy,immunotherapy,C0021083
"acetaminophen , 1000 mg",acetaminophen 1000,C0000970|G0000000
conventional heated humidification added to CPAP,conventional heated humidification cpap,C0439858|C0018837|G0000000|C0199451
continuous insulin infusion,continuous insulin infusion,C0549178|C0021641|C0574032
Clonidine,clonidine,C0009014
indinavir ( IDV,indinavir idv,C0376637|C0376637
theoretically-guided intervention,theoretically-guided intervention,C0181090|C0886296
three-dimensional imaging of the Achilles tendon by ultrasonographic tissue characterisation ( UTC ),three-dimensional imaging achilles tendon ultrasonographic tissue characterisation utc,C0450363|C0011923|C0001074|C0039508|G0000000|C0040300|C1880022|G0000000
5 FU infusion,5 fu infusion,G0000000|C0016360|C0574032
"12-lead ECG , and 24-h ambulatory ECG monitoring",12-lead ecg 24-h ambulatory ecg monitoring,C0450371|C1623258|C0450371|C0439841|C1623258|C0150369
wound closure using a barbed suture,wound closure barbed suture,C0043250|C0185003|C0391936|C0009068
ultrasound,ultrasound,C0041618
continuous epidural infusion ( CEI ),continuous epidural infusion cei,C0549178|C0228134|C0574032|C1864832
MPA 2,mpa 2,G0000000|G0000000
omeprazole-amoxycillin,omeprazole-amoxycillin,C0028978
Vaginal electrical stimulation of the pelvic floor :,vaginal electrical stimulation pelvic floor,C0042232|C0013790|C1292856|C0030797|C0016249
ciprofloxacin,ciprofloxacin,C0008809
mexiletine,mexiletine,C0025887
CNTF,cntf,C0207071
oral dosing with placebo,oral dosing placebo,C0442027|G0000000|C0032042
standard-dose lansoprazole,standard-dose lansoprazole,C1442989|C0050940
multiple-gated radionuclide cardioangiography scan,multiple-gated radionuclide cardioangiography scan,C0439064|C0034595|C0002971|C0034606
budesonide Turbuhaler,budesonide turbuhaler,C0054201|C1553479
L-tiroxine,l-tiroxine,C0439394
external defibrillation,external defibrillation,C0205101|C0013778
Meropenem,meropenem,C0066005
disodium cromoglycate ( DSCG ),disodium cromoglycate dscg,G0000000|C0010347|C0012694
no extra prompts,extra prompts,G0000000|C0871157
losartan,losartan,C0126174
physical exercise,physical exercise,C0031809|C0015259
naltrexone ( NAL ),naltrexone nal,C0027360|G0000000
0.25 % plain bupivacaine or 0.9 % saline,0 25 % plain bupivacaine 0 9 % saline,G0000000|C0450371|G0000000|G0000000|C0006400|G0000000|G0000000|G0000000|C0036082
Initial sleeping position was assigned randomly,initial sleeping position assigned randomly,C0205265|C0037313|C0733755|C1516050|G0000000
fish oil,fish oil,C0016163|C0028908
ganisetron,ganisetron,G0000000
conventionel herniotomies,conventionel herniotomies,G0000000|C0405600
enhanced intervention conditions,enhanced intervention conditions,C2349975|C0886296|C0012634
personalized EHR-generated informed consent,personalized ehr-generated informed consent,C1709510|C3146294|C1522154|C1511481
Removal of hypertrophied anal papillae and fibrous anal polyps,removal hypertrophied anal papillae fibrous anal polyps,C0015252|C0020564|C0003461|C0226964|C0016059|C0003461|C0032584
simple shoulder sling,simple shoulder sling,C0205352|C0037004|C0183346
hydrocodone and ibuprofen,hydrocodone ibuprofen,C0020264|C0020740
Mediterranean diet without mixed nuts,mediterranean diet mixed nuts,C0240321|C0012155|C0205430|C0028723
0.1 % solution of hexetidine,0 1 % solution hexetidine,G0000000|G0000000|G0000000|C0037633|C0019468
Hemolytic streptococcus preparation OK-432,hemolytic streptococcus preparation ok-432,C0312853|C0038402|C1521827|C1442061
"Tegaserod , a 5-hydroxytryptamine type 4 receptor partial agonist",tegaserod 5-hydroxytryptamine type 4 receptor partial agonist,C0537147|C0162466|C0332307|G0000000|C0597357|C0728938|C2987634
bilateral salpingo-oophorectomy,bilateral salpingo-oophorectomy,C0238767|C0036132
conventionally,conventionally,G0000000
donepezil,donepezil,C0527316
human synthetic secretin,human synthetic secretin,C0086418|C1883254|C0036534
Problem Solving Treatment,solving treatment,G0000000|C0039798
"midazolam 0.03 mg/kg , fentanyl 1 microg/kg , and propofol initially at 140 microg/kg/min .",midazolam 0 03 mg/kg fentanyl 1 microg/kg propofol initially 140 microg/kg/min,C0026056|G0000000|C0450371|C0439272|C0015846|G0000000|C1627892|C0033487|C0205265|C1442061|C1532757
stepwise,stepwise,G0000000
complementary radium therapy on the vaginal stump,complementary radium therapy vaginal stump,G0000000|C0034625|C0039798|C0042232|C0002690
new computerized WOMAC version,computerized womac version,G0000000|G0000000|C0333052
coronary artery bypass procedures,coronary artery bypass procedures,C0018787|C0003842|C0741847|C0025664
HSA ( 5 mg/mL ),hsa 5 mg/ml,G0000000|G0000000|C0439294
manual therapy,manual therapy,C0024763|C0039798
Lorazepam,lorazepam,C0024002
enoxaparin,enoxaparin,C0206460
degarelix,degarelix,C1455035
tissue plasminogen activator therapy,tissue plasminogen activator therapy,C0040300|C0032140|G0000000|C0039798
m-chlorophenylpiperazine,m-chlorophenylpiperazine,C0044170
CCM therapy,ccm therapy,C2919945|C0039798
regular brushing with dentifrices,regular brushing dentifrices,C0205272|C0040461|C0011427
multiport laparoscopy,multiport laparoscopy,G0000000|C0031150
Transcutaneous electrical nerve stimulation ( TENS ),transcutaneous electrical nerve stimulation tens,G0000000|C0013790|C0027740|C1292856|C0014518
early conventional therapy,conventional therapy,C0439858|C0039798
unilaterally,unilaterally,G0000000
Kay picture test,kay picture test,G0000000|C0441468|C0022885
CRT + ITC,crt + itc,G0000000|G0000000|G0000000
