third stage of labor,stage labor,C0205390|C0022864
7.99,7 99,G0000000|C0450371
279 women,279 women,C1442061|C0043210
women after myocardial infarction :,women myocardial infarction,C0043210|C0027061|C0021308
poor metabolizer,poor metabolizer,C0032854|G0000000
child anxiety,child anxiety,C0008059|C0003467
ADHD,adhd,C1263846
ages 6-18 years,ages 6-18,C0001779|C0450371
low back pain,low pain,C0205251|C0030193
nosocomial pneumonia,nosocomial pneumonia,C0019994|C0032285
Sixty-one,sixty-one,C3816724
ethanol-induced liver damage,ethanol-induced liver damage,C0001962|C0023884|C0010957
smokers,smokers,C0337664
idiopathic club foot,idiopathic club foot,C0332240|C0221096|C0016504
operable gastric cancer :,operable gastric cancer,C0205188|C0038351|C0006826
undergone stem cell transplantation,undergone stem cell transplantation,G0000000|C0242767|C0007634|C0040732
acute appendicitis,acute appendicitis,C0205178|C0003615
autistic behavior .,autistic behavior,C0004352|C0004927
malignant pleural,malignant pleural,C0205282|C0032225
cardiovascular risk,cardiovascular risk,C0007226|C0035647
"advanced , suboptimally debulked ovarian cancer .",advanced suboptimally debulked ovarian cancer,C0205179|G0000000|C0439805|C0205065|C0006826
congestive heart failure .,congestive heart failure,C0742742|C0018787|C0231174
three males,males,C0086582
migraine,migraine,C0149931
resectable pancreatic head cancer,resectable pancreatic head cancer,C1514888|C0030274|C0018670|C0006826
hookworm,hookworm,C0002830
"mean age = 6.4 years , SD = 2.7",age = 6 4 sd = 2 7,C0001779|G0000000|G0000000|G0000000|C2699239|G0000000|G0000000|G0000000
subjects,subjects,C0681850
antiretroviral-naive,antiretroviral-naive,G0000000
n=120,n=120,C0369718
diastolic BP ( DBP ) ranging from 90-99 mm Hg,diastolic bp dbp ranging 90-99 mm hg,C0012000|C0037623|C0536221|C1514721|C0450371|G0000000|C0025424
10-month-old,10-month-old,C0450371
57 chronic hepatitis B,57 chronic hepatitis,C0450371|C0205191|C0019158
196 Chinese women,196 chinese women,C1442061|C0008120|C0043210
60 newly diagnosed stage 1 hypertensive patients with no other systemic disease .,60 newly diagnosed stage 1 hypertensive patients systemic disease,C0450371|C0750546|C0011900|C0205390|G0000000|C0857121|C0030705|C0205373|C0012634
hematogenous,hematogenous,C1512376
symptomatic atrial fibrillation,symptomatic atrial fibrillation,C0231220|C0018792|C0232197
non-operable NSCLC,non-operable nsclc,C1518422|C0007131
writer 's cramp,writer cramp,C3812881|C0026821
gastrointestinal diseases,gastrointestinal diseases,C0521362|C0012634
48 +/- 16,48 +/- 16,C0450371|G0000000|C0450371
100 patients,100 patients,C1442061|C0030705
chronic alcoholic,chronic alcoholic,C0205191|C0687725
Eighty-five,eighty-five,C3816958
36 men,36,C0450371
bleeding from esophageal varices,bleeding esophageal varices,C0019080|C1522619|C0042345
gynecologic malignancies,gynecologic malignancies,C0205480|C0006826
PBC,pbc,C0008312
40 children,40 children,C0450371|C0008059
20.4,20 4,C0450371|G0000000
711,711,C1442061
primary coronary intervention :,primary coronary intervention,C0205225|C0018787|C0886296
anthracycline-pretreated patients with advanced breast cancer,anthracycline-pretreated patients advanced breast cancer,C0003234|C0030705|C0205179|C0006141|C0006826
angina pectoris,angina pectoris,C0002962|G0000000
715,715,C1442061
premenopausal women .,premenopausal women,C0279752|C0043210
early-stage breast cancer,early-stage breast cancer,C2363430|C0006141|C0006826
high-functioning autism spectrum disorders ( ASD ),high-functioning autism spectrum disorders asd,C0205250|C0004352|C1883073|C0012634|C0003516
231 non-insulin-dependent diabetic,231 non-insulin-dependent diabetic,C1442061|C1518422|C0241863
719,719,C1442061
primary total hip replacement,primary total hip replacement,C0205225|C0439175|C0019552|C0035139
undernourished,undernourished,C0162429
autistic spectrum disorder,autistic spectrum disorder,C0004352|C1883073|C0012634
2.6-13,2 6-13,G0000000|C0450371
musculoskeletal infection,musculoskeletal infection,C0497254|C0009450
chronic renal failure ( CRF ),chronic renal failure crf,C0205191|C0022646|C0231174|G0000000
Fourteen,fourteen,C3715152
2000,2000,G0000000
mediastinal involvement,mediastinal involvement,C0025066|C1314939
benign prostatic hyperplasia ( BPH ) and overactive bladder ( OAB ),benign prostatic hyperplasia bph overactive bladder oab,C0205183|C0033572|C0020507|C0005001|C0443272|C0005682|G0000000
tonsillectomy,tonsillectomy,C0040423
sinus rhythm ( SR,sinus rhythm sr,C0016169|C0871269|C3813610
severely burned patients with sepsis,severely burned patients sepsis,C0205082|C0006434|C0030705|C0036690
PCI,pci,C4049621
periodontitis,periodontitis,C0031099
38 Grade III and IV astrocytomas,38 grade iii iv astrocytomas,C0450371|C0441800|C0439070|C0022326|C0004114
20 healthy male,20 healthy male,C0450371|C3898900|C0086582
PCP,pcp,C1535939
Fisher Grade III subarachnoid hemorrhage,fisher grade iii subarachnoid hemorrhage,C0325045|C0441800|C0439070|C1515008|C0019080
hip fracture,hip fracture,C0019552|C0016658
burn patients,burn patients,C0006434|C0030705
laparoscopic cholecystectomy .,laparoscopic cholecystectomy,C0031150|C0008320
PDD,pdd,C0008838
BRAF ( V600E/K ) advanced melanoma,braf v600e/k advanced melanoma,C0104940|C0597277|C0205179|C0025202
Sixty-seven children,sixty-seven children,C3816724|C0008059
not well linked to their outpatient care networks,linked outpatient care networks,C1517892|C0029921|C1947933|C1882071
"1,068 patients",1 068 patients,G0000000|C1442061|C0030705
Mexican,mexican,C0240339
Critically ill,critically ill,G0000000|C0231218
chronic periodontitis,chronic periodontitis,C0205191|C0031099
6 years 3 months,6 3 months,G0000000|G0000000|C0439231
demographic data,demographic data,C0011298|C1511726
malignant pleural effusion due to primary lung cancer,malignant pleural effusion primary lung cancer,C0205282|C0032225|C0013687|C0205225|C0024109|C0006826
Nine hundred and thirty,thirty,C3816446
insomnia,insomnia,C0917801
high-functioning adults,high-functioning adults,C0205250|C0001675
hypnosis,hypnosis,C0020587
lumbar and pelvic girdle pain,lumbar pelvic girdle pain,C0024090|C0030797|C0453903|C0030193
UK genetic risk counselling services for familial cancer :,uk genetic risk counselling services familial cancer,C0041700|C0017296|C0035647|C0010210|C0557854|C0015576|C0006826
Seventy-eight,seventy-eight,C3816957
PEM,pem,G0000000
high autism traits,autism traits,C0004352|C0599883
hypertension,hypertension,C0020538
6 to 15 years of age,6 15 age,G0000000|C0450371|C0001779
myofascial pain,myofascial pain,G0000000|C0030193
Three hundred,NULL,NULL
Seventy-one elderly,seventy-one elderly,C3816957|C0001792
Upper gastrointestinal endoscopy,upper gastrointestinal endoscopy,C1282910|C0521362|C0014245
familial hypercholesterolemia ( FH ),familial hypercholesterolemia fh,C0015576|C0020443|G0000000
DES-exposed,des-exposed,C0332157
140 patients,140 patients,C1442061|C0030705
chronic encephalopathy,chronic encephalopathy,C0205191|C0006111
primary insomnia,primary insomnia,C0205225|C0917801
27 men,27,C0450371
750,750,C1442061
abdominal fullness,abdominal fullness,C0000726|C0439650
fiberoptic bronchoscopy,fiberoptic bronchoscopy,C0015979|C0006290
Wilms ' tumor .,wilms tumor,G0000000|C0027651
periodontal diseases,periodontal diseases,C2960678|C0012634
constipation,constipation,C0009806
cerebral tumors,cerebral tumors,G0000000|C0027651
HIV-positive,hiv-positive,C0019699
plantar fasciitis,plantar fasciitis,C0230463|C0015645
> 70 years,70,C0450371
persons with heart failure,persons heart failure,C0027361|C0018787|C0231174
"4,653",4 653,G0000000|C1442061
Japanese,japanese,C1556094
current manic or mixed episodes,current manic mixed episodes,C0521116|C0338831|C0205430|C0332189
intermediate-stage HD,intermediate-stage hd,C0205103|G0000000
progressive IgA nephropathy,progressive iga nephropathy,C0205329|C2825347|C0022658
anovulatory infertility,anovulatory infertility,C0429468|C0021359
Fifty-six,fifty-six,C3816723
late-life depression,late-life depression,C0205087|C0011570
cirrhosis and variceal hemorrhage,cirrhosis variceal hemorrhage,C0023890|G0000000|C0019080
healthy and hypertensive,healthy hypertensive,C3898900|C0857121
7.7 +/- 4.8 year,7 7 +/- 4 8,G0000000|G0000000|G0000000|G0000000|G0000000
eight,NULL,NULL
56 old,56,C0450371
Asperger syndrome,asperger syndrome,G0000000|C0039082
777,777,C1442061
structural heart disease,structural heart disease,C0678594|C0018787|C0012634
orthopaedic surgery,orthopaedic surgery,C0029355|C0038894
Seventy-two oncology nurses,seventy-two oncology nurses,C3816957|C0027651|C0028661
Asperger 's syndrome,asperger syndrome,G0000000|C0039082
postprandial esophageal,postprandial esophageal,C0376674|C1522619
hypertriglyceridemia,hypertriglyceridemia,C0020557
The control group consisted of 19 patients,control consisted 19 patients,C0243148|C0332529|C0450371|C0030705
febrile neutropenic,febrile neutropenic,C0015967|G0000000
1038 girls,1038 girls,G0000000|C0870604
normoglycemic hypertensive,normoglycemic hypertensive,C0580545|C0857121
perineal trauma .,perineal trauma,C0031066|C0043251
chronic midportion Achilles tendinopathy,chronic midportion achilles tendinopathy,C0205191|G0000000|C0001074|C1568272
chemosensitive tumor,chemosensitive tumor,C2347610|C0027651
ten non-diabetic,ten non-diabetic,C0014518|C1518422
five normal,normal,C0205307
systemic poisoning by this snake,systemic poisoning snake,C0205373|C0032343|C0037382
Eighty-eight,eighty-eight,C3816958
acquired immunodeficiency syndrome ( AIDS ) /AIDS-related complex,acquired immunodeficiency syndrome aids /aids-related complex,C0439661|C0021051|C0039082|C0001175|C0001175|C0439855
12 healthy male,12 healthy male,C0450371|C3898900|C0086582
One hundred nine consecutive patients,consecutive patients,C1707491|C0030705
persistent depressions,persistent depressions,C0205322|C0011570
glioma risk,glioma risk,C0017638|C0035647
10 mo,10 mo,C0450371|C0026544
twenty-two 3- to 4-year-olds,twenty-two 3- 4-year-olds,C0724000|G0000000|C0439234
bleeding esophageal varices in patients who did not respond to blood transfusion and vasoactive drugs,bleeding esophageal varices patients respond blood transfusion vasoactive drugs,C0019080|C1522619|C0042345|C0030705|G0000000|C0005767|C0005841|C1980011|C0013227
cough,cough,C0010200
heart failure patients with preserved ejection fraction ( HFpEF,heart failure patients preserved ejection fraction hfpef,C0018787|C0231174|C0030705|C0033085|C0302131|C1264633|G0000000
systolic BP ( SBP ) ranging from 140-179 mm Hg,systolic bp sbp ranging 140-179 mm hg,C0039155|C0037623|G0000000|C1514721|C1442061|G0000000|C0025424
creatinine clearance 20-45 ml/min,creatinine clearance 20-45 ml/min,C0010294|C0449297|C0450371|C0439445
"15 and 19 healthy women , respectively .",15 19 healthy women,C0450371|C0450371|C3898900|C0043210
autism spectrum disorder,autism spectrum disorder,C0004352|C1883073|C0012634
autism children :,autism children,C0004352|C0008059
HIV-1 infection :,hiv-1 infection,C0019682|C0009450
poor general condition,poor condition,C0032854|C0012634
multiple myeloma,multiple myeloma,C0439064|C0026764
stage I to IIIA,stage iiia,C0205390|G0000000
5 to 17 years,5 17,G0000000|C0450371
23 healthy male,23 healthy male,C0450371|C3898900|C0086582
hypertensive,hypertensive,C0857121
low socio-economic area of a major Australian city,low socio-economic major australian city,C0205251|C0013556|C0205082|C0238711|C0008848
heart,heart,C0018787
dermoid cysts,dermoid cysts,C0011649|C0010709
ST segment depression,st segment depression,C0036056|C0441635|C0011570
panic disorder,panic disorder,C0030318|C0012634
chronic renal disease,chronic renal disease,C0205191|C0022646|C0012634
One hundred thirty-one,thirty-one,C3816446
cervicitis,cervicitis,C0007860
Norwegian women,norwegian women,C0337812|C0043210
critically injured,critically injured,G0000000|C0332664
women 's,women,C0043210
incidental adrenal adenomas,incidental adrenal adenomas,C0444507|G0000000|C0001430
cardiac surgery with cardiopulmonary bypass ( CPB ),cardiac surgery cardiopulmonary bypass cpb,C0018787|C0038894|C0553534|C0741847|G0000000
patients enrolled in the Beta-Blocker in Heart Attack Trial,patients enrolled beta-blocker heart attack trial,C0030705|G0000000|C0001645|C0018787|C0277793|C0008976
6-82 years,6-82,C0450371
Wilms ' Tumor,wilms tumor,G0000000|C0027651
113 women,113 women,C1442061|C0043210
large mediastinal mass,mediastinal mass,C0025066|C0577559
after lumbar disk surgery,lumbar disk surgery,C0024090|C0180459|C0038894
special health care needs,special health care,C0205555|C0018684|C1947933
erythema migrans,erythema migrans,C0041834|G0000000
hemodialysis ( HD ),hemodialysis hd,C0019004|G0000000
resectable gastric cancer .,resectable gastric cancer,C1514888|C0038351|C0006826
prostate cancer,prostate cancer,C0033572|C0006826
infections with quinolone-sensitive organisms,infections quinolone-sensitive organisms,C3714514|C0034428|C0029235
disseminated disease,disseminated disease,C0205221|C0012634
7788,7788,G0000000
Ninety-three women,ninety-three women,C3816959|C0043210
71 patients,71 patients,C0450371|C0030705
HIV infection,hiv infection,C0019682|C0009450
metastatic breast carcinoma,metastatic breast carcinoma,C0036525|C0006141|C0007097
"mean [ SD ] age , 52 [ 7 ] years",sd age 52 7,C2699239|C0001779|C0450371|G0000000
deep caries lesions,deep caries lesions,C0205125|C0011334|C0221198
automated peritoneal dialysis,automated peritoneal dialysis,C0205554|C0031153|C0011945
20 adult patients with reversible chronic airway obstruction ( intrinsic asthma or COPD ),20 adult patients reversible chronic airway obstruction intrinsic asthma copd,C0450371|C0001675|C0030705|C0205343|C0205191|C0178987|C0028778|C0205102|C0004096|C0024117
allodynia,allodynia,C0458247
serotonin-migraine,serotonin-migraine,C0036751
F.C .,NULL,NULL
neurocognitively healthy sample,neurocognitively healthy sample,G0000000|C3898900|C0370003
chronic coronary artery disease,chronic coronary artery disease,C0205191|C0018787|C0003842|C0012634
infantile autism,infantile autism,C0231330|C0004352
scheduled for colonoscopies,scheduled colonoscopies,C0086960|C0009378
lung nodule,lung nodule,C0024109|C0028259
postmenopausal,postmenopausal,C0232970
Sixteen,sixteen,C3715157
0-2 months,0-2 months,G0000000|C0439231
307 schizophrenia,307 schizophrenia,C1442061|C0036341
One,NULL,NULL
colorectal cancer patients,colorectal cancer patients,C0555952|C0006826|C0030705
stage II/III LARC,stage ii/iii larc,C0205390|C0439070|C1366524
Ten females,ten females,C0014518|C0015780
low autism traits,low autism traits,C0205251|C0004352|C0599883
28 +/- 1.6,28 +/- 1 6,C0450371|G0000000|G0000000|G0000000
Men 50 years or older,50,C0450371
